Id_busqueda,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,tweet_prepro,polarity,alojamientos,producto,seguridad,clima
1,175780910,2021-08-02 13:58:30+00:00, ,1422195103439986688,pt, , , , ,Twitter for Android,@andreluizz33 @YelowCarlos @agetransp @claudiocastroRJ @eduardopaes @SuperVia_trens @flaviofachel @donapaulasantos @diegohaidar @Informacoes_RJ @ladygross @TVGlobo_Oficial Só tem parador infelizmente e trem lotado !!,só tem parador infelizmente trar lotado,P,1,0,0,0
1,1289851765404381185,2021-08-02 13:54:03+00:00, ,1422193983778926595,es, , , , ,Twitter for Android,"El proyecto básico para reformar el hotel, una propuesta similar a la que en su día se llevó a cabo en el Parador del Saler, tb ubicado en primera línea del parque pero este fuera de la zona del deslinde, no ha sido aceptado por el actual gobierno municipal de Compromís y PSPV.",proyecto básico reformar hotel propuesto similar día llevar cabo parador saler ubicado primero línea parque zona deslinde ser aceptar actual gobierno municipal compromí pspv,P,1,1,0,1
1,33240122,2021-08-02 13:53:52+00:00, ,1422193936974721027,es, , , , ,Twitter for Android,"RT @aytocalahorra: ⚠️⚠️⚠️ EL JUEVES 5 DE AGOSTO SE ASFALTARÁ LA CURVA DEL PARADOR  

•Para ello, el Ayuntamiento invertirá 16.704,05 euros…",jueves agosto asfaltar curva parador él ayuntamiento invertir euro,P,1,0,0,0
1,1418000836563775488,2021-08-02 13:53:43+00:00, ,1422193901021110279,fr, , , , ,Twitter for iPhone,Quero passar réveillon no Parador,querer passar réveillon parador,P,1,0,0,0
1,491217409,2021-08-02 13:51:41+00:00, ,1422193388560998410,es, , , , ,Twitter for Android,"⚠️⚠️⚠️ EL JUEVES 5 DE AGOSTO SE ASFALTARÁ LA CURVA DEL PARADOR  

•Para ello, el Ayuntamiento invertirá 16.704,05 euros
•Durante ese día, quedará cortado el tráfico y el tránsito de todo tipo de vehículos en el paseo del Mercadal.

Más info⤵️⤵️ https://t.co/DYu0rWNdOt https://t.co/mW31qJOUOk",jueves agosto asfaltar curva parador él ayuntamiento invertir euro día quedar cortado tráfico tránsito tipo vehículo paseo mercadal info,P,1,0,0,1
1,1292512381227151360,2021-08-02 13:48:02+00:00, ,1422192469991641090,es, , , , ,Twitter Web App,@made_in_1971 La Granja d e San ildefonso ahí pensab l parador. Pero  pesar d lo q puedan creer l higienr en paradores deja q desear en ciertos aspectow @oscarlopeztwit,granja d san ildefonso ahí pensar l parador pesar d poder creer l higienr parador dejar desear cierto aspectow,P,1,0,0,0
1,161913013,2021-08-02 13:43:08+00:00, ,1422191236388163597,es, , , , ,Twitter for Android,RT @viviendoensuiza: Asi es un parador en el medio de las montañas todavía en #Suiza 🇨🇭 camino a #Italia https://t.co/4NMk25vhMR,asar parador medio montaña todavía suizo camino italio,P,1,1,0,1
1,1301016116572098560,2021-08-02 13:36:14+00:00, ,1422189500432850945,es, , , , ,Twitter Web App,RT @viviendoensuiza: Asi es un parador en el medio de las montañas todavía en #Suiza 🇨🇭 camino a #Italia https://t.co/4NMk25vhMR,asar parador medio montaña todavía suizo camino italio,P,1,1,0,1
1,935875304291295232,2021-08-02 13:34:37+00:00, ,1422189091286835200,es, , , , ,Twitter for iPhone,"RT @paradores: El Parador de #Mérida te ofrece la posibilidad de disfrutar de ""Carpe Extremadura"", una experiencia que fusiona la gastronom…",parador mérido ofrecer posibilidad disfrutar carpe extremadur experiencia fusionar gastronom,P,1,1,0,0
1,175134682,2021-08-02 13:32:48+00:00, ,1422188635781140487,es, , , , ,Instagram,Revuelto de criadillas de tierra con jamón ibérico y huevos de campo en @paradores #paradordejarandilla en Parador Nacional De Jarandilla https://t.co/JhnwmwqsSl,revolver criadilla tierra jamón ibérico huevo campo paradordejarandilla parador nacional jarandillo,P,1,1,0,1
1,15557496,2021-08-02 13:18:26+00:00, ,1422185022078005248,es, , , , ,Twitter Web App,"@alfonsoacedo Hola Alfonso! Sí, fue en el Parador de Vielha. Una pasada tanto el hotel como todo el entorno :)",holar alfonso parador vielha pasado hotel entorno,P,1,0,0,0
1,533871926,2021-08-02 13:18:26+00:00, ,1422185021599887363,es, , , , ,Twitter for Android,RT @viviendoensuiza: Asi es un parador en el medio de las montañas todavía en #Suiza 🇨🇭 camino a #Italia https://t.co/4NMk25vhMR,asar parador medio montaña todavía suizo camino italio,P,1,1,0,1
1,468724430,2021-08-02 13:06:24+00:00, ,1422181990728708106,es, , , , ,Twitter for Android,"RT @paradores: El Parador de #Mérida te ofrece la posibilidad de disfrutar de ""Carpe Extremadura"", una experiencia que fusiona la gastronom…",parador mérido ofrecer posibilidad disfrutar carpe extremadur experiencia fusionar gastronom,P,1,1,0,0
